Марка,Количество перевозок по марке,"Список маршрутов, по которым перевозилась марка"
AITO,2,Москва - Киров; Москва - Москва
Alfa Romeo,2,Екатеринбург - Тольятти; Тольятти - Владикавказ
Aston Martin,2,Москва - Санкт-Петербург; Санкт-Петербург - Москва
Audi,80,Абакан - Красноярск; Владивосток - Владивосток; Владивосток - Краснодар; Владивосток - Москва; Владивосток - Тюмень; Владикавказ - Москва; Владикавказ - Санкт-Петербург; Владикавказ - Тольятти; Екатеринбург - Москва; Екатеринбург - Тольятти; Казань - Москва; Красноярск - Тольятти; Кропоткин - Кропоткин; Кропоткин - Москва; Минск - Москва; Москва - Воронеж; Москва - Екатеринбург; Москва - Иркутск; Москва - Казань; Москва - Москва; Москва - Омск; Москва - Санкт-Петербург; Москва - Сургут; Москва - Тольятти; Москва - Тюмень; Нижневартовск - Нижневартовск; Новосибирск - Казань; Ростов-на-Дону - Новосибирск; Санкт-Петербург - Кемерово; Санкт-Петербург - Краснодар; Санкт-Петербург - Москва; Санкт-Петербург - Санкт-Петербург; Симферополь - Краснодар; Ставрополь - Москва; Тольятти - Владикавказ; Тольятти - Красноярск; Тюмень - Нижневартовск; Тюмень - Пермь; Тюмень - Сургут; Уфа - Тюмень; Челябинск - Иркутск
BMW,152,Владивосток - Краснодар; Владивосток - Москва; Владивосток - Ростов-на-Дону; Владивосток - Санкт-Петербург; Владивосток - Уфа; Владивосток - Челябинск; Владикавказ - Москва; Владикавказ - Санкт-Петербург; Владикавказ - Тольятти; Екатеринбург - Москва; Екатеринбург - Тольятти; Иркутск - Москва; Иркутск - Тольятти; Иркутск - Уфа; Казань - Екатеринбург; Казань - Москва; Казань - Санкт-Петербург; Казань - Тольятти; Краснодар - Новосибирск; Краснодар - Тольятти; Минеральные Воды - Минеральные Воды; Минеральные Воды - Москва; Москва - Владикавказ; Москва - Екатеринбург; Москва - Иркутск; Москва - Кемерово; Москва - Краснодар; Москва - Курган; Москва - Минск; Москва - Москва; Москва - Нижний Новгород; Москва - Новосибирск; Москва - Оренбург; Москва - Пермь; Москва - Ростов-на-Дону; Москва - Санкт-Петербург; Москва - Сургут; Москва - Тюмень; Москва - Улан-Удэ; Москва - Уфа; Москва - Челябинск; Невинномысск - Москва; Невинномысск - Тольятти; Новосибирск - Москва; Новосибирск - Новосибирск; Новосибирск - Тюмень; Омск - Москва; Ростов-на-Дону - Красноярск; Ростов-на-Дону - Москва; Самара - Москва; Санкт-Петербург - Владикавказ; Санкт-Петербург - Москва; Санкт-Петербург - Невинномысск; Санкт-Петербург - Санкт-Петербург; Санкт-Петербург - Тюмень; Санкт-Петербург - Челябинск; Симферополь - Ростов-на-Дону; Сургут - Тюмень; Тольятти - Владикавказ; Тольятти - Краснодар; Тольятти - Красноярск; Тольятти - Нальчик; Тольятти - Ростов-на-Дону; Тольятти - Челябинск; Тюмень - Москва; Тюмень - Нижневартовск; Улан-Удэ - Москва; Уфа - Москва; Уфа - Тольятти; Хабаровск - Казань; Челябинск - Москва
BYD,9,Владивосток - Иркутск; Владивосток - Тюмень; Екатеринбург - Тольятти; Иркутск - Тольятти; Москва - Санкт-Петербург; Ростов-на-Дону - Москва; Тольятти - Москва; Тюмень - Москва
Belgee,4,Казань - Казань; Казань - Москва; Москва - Махачкала; Санкт-Петербург - Москва
Buick,1,Москва - Санкт-Петербург
Changan,11,Владивосток - Казань; Владивосток - Москва; Владивосток - Санкт-Петербург; Екатеринбург - Тольятти; Иркутск - Уфа; Курган - Москва; Москва - Краснодар; Москва - Курган; Москва - Невинномысск; Москва - Санкт-Петербург; Тольятти - Краснодар
Chery,15,Екатеринбург - Омск; Казань - Тольятти; Минеральные Воды - Москва; Москва - Москва; Новосибирск - Челябинск; Ростов-на-Дону - Санкт-Петербург; Санкт-Петербург - Ижевск; Тольятти - Краснодар; Тольятти - Москва; Челябинск - Тольятти; Челябинск - Уфа
Chevrolet,17,Владикавказ - Владикавказ; Владикавказ - Ростов-на-Дону; Казань - Уфа; Москва - Казань; Москва - Пятигорск; Москва - Санкт-Петербург; Омск - Москва; Пермь - Москва; Ростов-на-Дону - Ростов-на-Дону; Санкт-Петербург - Москва; Сургут - Казань; Тольятти - Нальчик
Chrysler,1,Тобольск - Москва
Citroen,1,Москва - Казань
Daewoo,4,Казань - Уфа; Москва - Иркутск; Тольятти - Минеральные Воды; Челябинск - Тольятти
Daihatsu,3,Москва - Краснодар; Москва - Санкт-Петербург
Datsun,1,Невинномысск - Санкт-Петербург
Defender,6,Екатеринбург - Москва; Екатеринбург - Тольятти; Москва - Санкт-Петербург; Санкт-Петербург - Санкт-Петербург; Тольятти - Краснодар
Dodge,7,Москва - Иркутск; Москва - Новосибирск; Москва - Улан-Удэ; Москва - Челябинск; Новосибирск - Иркутск; Санкт-Петербург - Иркутск
Dongfeng,5,Краснодар - Москва; Москва - Минск; Москва - Москва; Москва - Новосибирск
EXEED,3,Владикавказ - Москва; Москва - Владивосток; Москва - Невинномысск
Evolute,9,Краснодар - Сочи; Красноярск - Сочи; Уфа - Москва; Уфа - Уфа
Fiat,2,Москва - Владикавказ; Санкт-Петербург - Тюмень
Ford,19,Владивосток - Екатеринбург; Владикавказ - Тольятти; Екатеринбург - Екатеринбург; Красноярск - Екатеринбург; Курган - Екатеринбург; Москва - Минск; Москва - Нижний Новгород; Москва - Новосибирск; Москва - Санкт-Петербург; Москва - Уфа; Нижний Новгород - Улан-Удэ; Санкт-Петербург - Тольятти; Саратов - Тольятти; Серпухов - Москва; Симферополь - Санкт-Петербург; Тольятти - Волгоград; Тольятти - Москва
Forthing,1,Москва - Тюмень
GAC,8,Москва - Кемерово; Москва - Москва; Москва - Омск; Москва - Санкт-Петербург; Москва - Челябинск
Geely,28,Владивосток - Казань; Владивосток - Москва; Екатеринбург - Москва; Минеральные Воды - Тольятти; Москва - Владикавказ; Москва - Казань; Москва - Новосибирск; Москва - Омск; Москва - Пятигорск; Москва - Санкт-Петербург; Москва - Сургут; Москва - Улан-Удэ; Новосибирск - Абакан; Новосибирск - Барнаул; Новосибирск - Москва; Омск - Новосибирск; Санкт-Петербург - Москва; Санкт-Петербург - Нальчик; Санкт-Петербург - Невинномысск; Челябинск - Красноярск
Genesis,12,Владивосток - Москва; Владивосток - Тольятти; Москва - Екатеринбург; Москва - Краснодар; Москва - Санкт-Петербург; Тольятти - Оренбург
Great Wall,6,Красноярск - Красноярск; Красноярск - Санкт-Петербург; Москва - Екатеринбург; Москва - Курган; Москва - Томск; Москва - Чита
Haval,27,Владивосток - Москва; Москва - Воронеж; Москва - Екатеринбург; Москва - Новосибирск; Москва - Омск; Москва - Санкт-Петербург; Москва - Томск; Москва - Чебоксары; Москва - Чита; Новосибирск - Уфа; Санкт-Петербург - Москва; Тюмень - Нефтеюганск; Уфа - Тюмень
Hino,1,Энгельс - Владивосток
Honda,63,Абакан - Красноярск; Владивосток - Екатеринбург; Владивосток - Краснодар; Владивосток - Москва; Владивосток - Тюмень; Екатеринбург - Екатеринбург; Екатеринбург - Красноярск; Екатеринбург - Тольятти; Иркутск - Омск; Иркутск - Хабаровск; Казань - Казань; Казань - Омск; Красноярск - Москва; Красноярск - Чита; Москва - Воронеж; Москва - Иркутск; Москва - Калининград; Москва - Краснодар; Москва - Москва; Москва - Новосибирск; Москва - Ростов-на-Дону; Москва - Санкт-Петербург; Москва - Тюмень; Москва - Уфа; Нижневартовск - Тюмень; Новосибирск - Ростов-на-Дону; Новосибирск - Хабаровск; Омск - Екатеринбург; Санкт-Петербург - Мурманск; Санкт-Петербург - Новосибирск; Санкт-Петербург - Самара; Санкт-Петербург - Санкт-Петербург; Тольятти - Москва; Тюмень - Омск; Тюмень - Сургут
